country,date,GDP_PER_CAPITA,LIFE_EXPECTANCY,YOUTH_UNEMPLOYED,HIGH_TECH_EXPORTS,HOMICIDE_INDEX,RULE_OF_LAW_INDEX,INCOME_INEQUALITY,GENDER_PARITY_TERTIARY_EDUCATION
Bulgaria,2006,15449.4350933122,72.6121951219512,17.1784058213234,,2.4374198993,51.19617,35.7,0.99337
Bulgaria,2005,14356.019677453,72.5609756097561,19.3838849663734,,2.5887983865,50.23923,,0.98947
Bosnia and Herzegovina,2019,14896.7900391155,77.401,,5.27087753961025,,46.63462,,0.96902
Bosnia and Herzegovina,2018,14386.7318547663,77.262,,5.25546849232042,1.1733102602,46.15385,,
Bosnia and Herzegovina,2017,13753.8320539223,77.128,,5.44381672494211,1.2531575094,47.59615,,
Bosnia and Herzegovina,2016,13194.3254000959,76.998,,2.73475397490437,1.3288985528,46.15385,,
Bosnia and Herzegovina,2015,12630.6623426277,76.865,,2.98786335819602,1.6621167436,46.15385,,
Bosnia and Herzegovina,2014,12066.5870581183,76.723,,2.49516778743487,1.4359126345,49.03846,,
Bosnia and Herzegovina,2013,11725.2508627353,76.569,,2.40561587206088,1.2984820745,51.17371,,
Bosnia and Herzegovina,2012,11257.8350659388,76.401,,2.61825887269497,1.747586389,49.29578,,
Bosnia and Herzegovina,2011,11176.876815237,76.219,,3.27261575790071,1.3929961791,45.07042,33.0,
Bosnia and Herzegovina,2010,10938.2850480476,76.031,,2.83362055734205,1.5112760081,44.07583,,
Bosnia and Herzegovina,2009,10755.9711188788,75.844,,3.54295580814765,1.9004562433,45.0237,,
Bosnia and Herzegovina,2008,11035.0385848851,75.665,,4.50622526761995,1.7580024404,40.86538,,
Bosnia and Herzegovina,2007,10441.7963196058,75.498,13.1826981902122,,1.7540171644,38.75598,33.1,
Bosnia and Herzegovina,2006,9856.9688824779,75.342,,,1.9386937241,39.23445,,
Bosnia and Herzegovina,2005,9350.94404211336,75.198,,,1.8590658141,37.32058,,
Brazil,2019,14763.8716968734,75.881,,13.2740540198108,,47.59615,53.4,
Brazil,2018,14668.2561636292,75.672,,13.4429422904394,27.382530291,44.71154,53.9,
Brazil,2017,14524.6135408175,75.456,,13.8525332173213,30.831362508,46.15385,53.3,1.00538
Brazil,2016,14451.1528421912,75.23,,14.7657563867164,29.877807011,49.03846,53.3,1.04821
Brazil,2015,15064.1760689478,74.994,24.8823061585426,13.6231485607882,28.59025632,51.44231,51.9,1.00439
Brazil,2014,15749.5121636511,74.745,17.9642036557198,11.7172273261872,28.849832246,56.73077,52.1,1.01488
Brazil,2013,15805.2229104458,74.483,,10.6513057112185,26.941953612,52.58216,52.8,1.02315
Brazil,2012,15478.789287159,74.209,15.7484993338585,11.524496434568,26.621868092,53.05164,53.5,
Brazil,2011,15323.3317296101,73.921,16.0649836063385,10.8504693408548,24.34453674,56.33803,52.9,
Brazil,2010,14873.2083173363,73.619,,12.3532212514135,22.109854307,55.92417,,
Brazil,2009,13962.2588783344,73.3,19.0044403076172,14.4745291363942,22.960855373,50.7109,53.7,
Brazil,2008,14114.9747702043,72.966,16.9239357113838,12.457464113632,23.894658908,46.15385,54.0,
Brazil,2007,13564.9941989629,72.618,19.0742686390877,12.6985508981154,23.470728215,43.54067,54.9,
Brazil,2006,12922.1554849938,72.26,19.7566300630569,,23.960670588,44.01914,55.6,
Brazil,2005,12565.9413936417,71.896,21.4097067713737,,23.448801615,39.23445,56.3,
Canada,2019,49006.7431073981,82.0487804878049,,16.5130716928602,,94.71154,,
Canada,2018,48796.8137814007,82.0487804878049,,15.6904891315608,1.755921136,94.71154,,
Canada,2017,48317.0965785817,81.9,,14.7010572513539,1.7967939805,96.15385,33.3,
Canada,2016,47457.5853457244,81.9,,14.4188581693629,1.682106961,96.63461,32.7,
Canada,2015,47522.1406673151,81.9,,15.1461249035726,1.6931901668,95.67308,33.7,
Canada,2014,47564.609109622,81.8,,15.0450596601283,1.463646963,95.19231,33.2,
Canada,2013,46704.7622355677,81.7487804878049,,15.7768570923425,1.442067897,95.30516,33.8,
Canada,2012,46126.5138859002,81.6487804878049,,15.9312948422912,1.5692099924,95.30516,33.5,
Canada,2011,45822.5964338567,81.4487804878049,,15.0517241829529,1.7545304234,94.3662,,
Canada,2010,44861.5239641879,81.2463414634146,,15.8971895731305,1.6282273237,96.20853,33.6,
Canada,2009,44003.6170419636,80.9951219512195,,18.2235856674189,1.8076166625,96.68246,,
Canada,2008,45851.6302484565,80.6951219512195,,15.3876599512868,1.8417621548,96.15385,,
Canada,2007,45888.4763265252,80.5439024390244,,14.9010545976871,1.812892765,96.17225,33.8,
Canada,2006,43358.1823908414,80.3439024390244,,,1.8686421985,96.65072,,
Canada,2005,42046.8695832654,80.1926829268293,,,2.0643997588,93.77991,,
Switzerland,2019,70944.3548128194,83.7048780487805,,12.9139637365242,,99.03846,,
Switzerland,2018,70597.2920689752,83.7536585365854,,13.3270956066164,0.58646802447,99.03846,33.1,0.98024
Switzerland,2017,69103.570264696,83.5512195121951,,14.0294063557091,0.53217928481,99.03846,32.7,0.99087
Switzerland,2016,68663.2438230835,83.6024390243903,,27.3475085279223,0.53699828698,98.07692,33.0,0.99353
Switzerland,2015,68025.9200383988,82.8975609756098,3.79753559827805,27.2770616604,0.68701393011,97.59615,32.3,0.98544
Switzerland,2014,67682.6861750714,83.1975609756098,4.55127768218517,26.8888761582183,0.49963423118,98.07692,32.5,0.98341
Switzerland,2013,66877.1630488424,82.7975609756098,4.50488217175007,26.9890714440024,0.70293342752,96.24413,32.5,0.99034
Switzerland,2012,66440.2870236648,82.6975609756098,4.17449958622456,26.2990541797159,0.56193764091,96.71362,31.6,1.00134
Switzerland,2011,66342.0108170701,82.6951219512195,,25.2855802353538,0.58176387772,93.89671,31.7,1.01006
Switzerland,2010,65819.7372527487,82.2463414634147,,25.82741865536,0.66592612267,94.3128,32.6,1.00649
Switzerland,2009,64404.0798614014,82.0439024390244,,26.6711887947419,0.6611439969,95.7346,32.9,1.0029
Switzerland,2008,66598.8593697765,81.9926829268293,,24.8860628069785,0.70839869623,96.63461,33.8,1.00171
Switzerland,2007,65641.7106078648,81.7414634146342,,23.8608650314094,0.67666305868,97.60766,34.3,0.99103
Switzerland,2006,63686.2482388777,81.490243902439,,,0.80450943629,97.12919,33.9,0.99112
Switzerland,2005,61613.3910520748,81.2365853658537,,,1.015322159,98.08612,,0.99683
Colombia,2019,14585.3024908488,77.287,,9.12411541366128,,38.46154,51.3,
Colombia,2018,14314.8555765268,77.109,,7.25430221441873,25.343802597,38.46154,50.4,1.001
Colombia,2017,14171.3205005648,76.925,19.4147497415543,8.9923981141083,25.019503231,40.38462,49.7,
Colombia,2016,14194.515663803,76.732,19.1304042935371,10.336582580404,25.743617318,43.75,50.6,
Colombia,2015,14095.748356648,76.531,18.5364529490471,9.85342255986008,26.897770606,46.63462,51.0,
Colombia,2014,13852.2420491719,76.322,19.6081385016441,8.1202697269924,28.408881626,44.71154,52.6,
Colombia,2013,13390.485196138,76.105,20.2860191464424,7.85108619133615,33.16235475,41.78404,52.6,
Colombia,2012,12852.6257014235,75.882,21.9183847308159,5.74729444789095,35.680396624,45.07042,52.6,
Colombia,2011,12480.5465526004,75.655,23.5871255397797,4.71337335279459,35.317629927,47.41784,53.5,1.0021
Colombia,2010,11783.2999142858,75.424,25.1163125038147,5.49124961744923,34.184160481,45.97157,54.6,0.9996
Colombia,2009,11395.5621370337,75.193,25.6421476602554,5.58373945647221,35.345208745,43.12796,54.3,0.9956
Colombia,2008,11393.2022349803,74.962,24.6402010321617,4.01736465540091,36.470478391,41.82692,55.3,0.99618
Colombia,2007,11161.5133168718,74.732,23.5052883625031,3.06546541214429,39.320938054,40.66986,,0.9925
Colombia,2006,10586.7948808009,74.5,24.8226329684258,,40.459804299,38.75598,,1.00782
Colombia,2005,10049.1261807666,74.265,25.9682804346085,,42.466503083,32.05742,53.9,0.98827
Finland,2019,48641.6240784137,81.7853658536586,,9.21454108108297,,100.0,,
Finland,2018,48049.5837841337,81.7341463414634,,9.01758310904837,1.6296716121,100.0,27.3,0.99369
Finland,2017,47570.133583848,81.6317073170732,,9.65685384656264,1.251956863,100.0,27.4,0.99629
Finland,2016,46206.7878130494,81.4292682926829,41.2837207317352,10.0522849074707,1.3460139978,100.0,27.1,1.00016
Finland,2015,45072.5902146238,81.4804878048781,36.7692738771439,10.1844539750295,1.4960424205,100.0,27.1,0.99804
Finland,2014,44976.7764487708,81.1804878048781,29.0373384952545,10.0523974594731,1.6113055054,100.0,26.8,0.99399
Finland,2013,45328.5753218041,80.9756097560976,20.4445511102676,9.02416063361087,1.6363350214,99.53052,27.2,0.99579
Finland,2012,45952.246383366,80.6268292682927,19.4585114717484,10.4757575277383,1.6251847493,99.53052,27.1,0.99498
Finland,2011,46825.8248388831,80.4707317073171,19.525833427906,11.0769724799506,2.0408026959,100.0,27.6,0.9917
Finland,2010,45874.6613021399,79.8707317073171,27.0087987184525,13.1480018377874,2.2177560632,100.0,27.7,0.99609
Finland,2009,44662.100140396,79.719512195122,16.5944218635559,18.0176255473641,2.2462378324,100.0,27.5,0.99298
Finland,2008,48817.989492787,79.5682926829268,10.9364666044712,21.4923176969694,2.5002575453,98.07692,27.8,0.99241
Finland,2007,48664.265707071,79.2634146341464,15.4615223407745,21.7696420150581,2.4350001255,98.56459,28.3,0.98886
Finland,2006,46412.2003478176,79.2146341463415,14.2318859696388,,2.2548597913,99.04306,28.0,0.98893
Finland,2005,44786.9096643071,78.8170731707317,16.1500617861748,,2.2628164306,100.0,27.6,0.99125
France,2019,46017.7659610004,82.5780487804878,,26.9924118449248,,89.42308,,
France,2018,45284.0027939624,82.7243902439024,,25.9698330244713,1.1986365025,88.94231,32.4,0.99672
France,2017,44577.0645745394,82.5756097560976,,26.1354518508085,1.27077123,89.42308,31.6,0.99948
France,2016,43705.1475593257,82.5731707317073,32.3173612356186,28.0563742929773,1.3515270942,88.46154,31.9,0.99977
France,2015,43345.7864281559,82.3219512195122,34.6203416585922,28.3385830195742,1.5701316524,88.46154,32.7,0.99962
France,2014,43021.3946358903,82.719512195122,28.2811105251312,27.6202413108894,1.2337688132,88.46154,32.3,0.99907
France,2013,42816.2714819044,82.219512195122,25.7469326257706,27.2947157017573,1.2160857437,89.20188,32.5,1.00073
France,2012,42790.6328838388,81.9682926829268,24.5697006583214,26.8698944289911,1.2333982084,89.67136,33.1,0.99551
France,2011,42864.0189689606,82.1146341463415,23.4295830130577,25.3221492610086,1.3539541606,89.67136,33.3,0.99522
France,2010,42147.6716766942,81.6634146341463,22.3982244729996,26.5952388903109,1.2659126694,90.52132,33.7,0.99409
France,2009,41546.4905796298,81.4146341463415,24.4221821427345,24.3619291967615,1.3095015143,90.04739,32.7,0.99288
France,2008,42996.2097818165,81.2146341463415,18.6229974031448,21.7311566838715,1.6412361598,90.86539,33.0,0.99508
France,2007,43127.2128556843,81.1121951219512,16.6293323040009,20.3110510787332,1.6049981809,90.43062,32.4,0.99507
France,2006,42367.5698646841,80.8121951219512,17.6791548728943,,1.4290609278,90.43062,29.7,0.99599
France,2005,41643.9888864457,80.1634146341463,18.7174767255783,,1.5968552945,90.43062,29.8,0.99877
Greece,2019,29723.2219580446,81.9390243902439,,12.5148699668283,,60.57692,,
Greece,2018,29150.6944922443,81.7878048780488,,12.9497783847385,0.94086394499,58.65385,32.9,1.00805
Greece,2017,28645.0436174422,81.2878048780488,,12.109014951345,0.81366587795,56.73077,34.4,1.01417
Greece,2016,28226.9072784414,81.3878048780488,50.8925437927246,13.7102575063065,0.79131937716,58.65385,35.0,1.01508
Greece,2015,28248.1259561464,81.0365853658537,58.2005143165588,12.9254911784492,0.87244178726,64.42308,36.0,1.01244
Greece,2014,28178.6902062824,81.3853658536585,65.0228202342987,11.4963460989698,0.99986357002,66.82692,35.8,1.00379
Greece,2013,27797.5447288899,81.2853658536585,69.7545349597931,8.46757620958061,1.4245145548,64.78873,36.1,0.99277
Greece,2012,28374.676952114,80.6341463414634,61.6123557090759,10.1431848809293,1.5397288537,63.38028,36.3,0.99812
Greece,2011,30372.7605650238,80.7317073170732,59.626030921936,11.2501391133257,1.6991295839,66.19718,34.8,0.99547
Greece,2010,33753.6177475922,80.3878048780488,38.7291491031647,11.6183133345645,1.6165119346,66.82465,34.1,0.99544
Greece,2009,35756.2455188034,80.1878048780488,33.7274193763733,12.2712492439275,1.3869539462,68.24644,33.6,
Greece,2008,37461.5387708945,79.9390243902439,23.4193846583366,11.1051793120029,1.3043109651,78.36539,33.6,
Greece,2007,37687.4333370451,79.4390243902439,28.2625526189804,9.11450854584959,1.1690257456,77.51196,34.0,0.99988
Greece,2006,36585.8395603871,79.4390243902439,30.2099794149399,,0.98343968041,77.03349,35.1,1.00366
Greece,2005,34732.6440722251,79.2390243902439,26.961088180542,,1.1759675005,75.11961,34.6,1.00654
Croatia,2019,28753.5162699607,78.4243902439025,,8.30437430303953,,64.42308,,
Croatia,2018,27799.8433225132,78.0707317073171,,8.83744080236021,0.57742179724,63.94231,29.7,0.99163
Croatia,2017,26800.118975807,77.8268292682927,,8.73493937897817,1.0997294426,63.46154,30.4,0.98378
Croatia,2016,25599.8436234435,78.0219512195122,54.0371239185333,14.4016891008393,1.0454755738,64.42308,30.9,0.96011
Croatia,2015,24562.453617545,77.2756097560976,62.7250969409943,10.7064204918349,0.87411059247,61.53846,31.1,0.95923
Croatia,2014,23782.5024628678,77.4780487804878,61.7005527019501,10.4389780237798,0.84596046827,65.86539,32.1,0.97216
Croatia,2013,23766.9760398631,77.1268292682927,56.1023533344269,12.4934972795245,1.0756225809,60.56338,32.0,0.97644
Croatia,2012,23807.3155946951,76.9243902439024,56.4097762107849,11.8120562393817,1.1871870395,60.56338,32.5,0.97611
Croatia,2011,24316.2479790563,76.7756097560976,56.1020314693451,8.6911061420932,1.1360743484,61.03286,32.3,0.97487
Croatia,2010,24280.6026929712,76.4756097560976,,10.1821117976556,1.4324783979,61.61137,32.4,0.98642
Croatia,2009,24548.7918388197,76.1682926829268,,11.308245738374,1.1287043096,60.18958,32.6,0.96543
Croatia,2008,26460.8959793295,75.9121951219512,,9.51928581337507,1.6311943168,58.17308,,0.96525
Croatia,2007,25966.0969395053,75.7056097560976,,9.50055939573982,1.4212272205,55.98086,,0.96746
Croatia,2006,24708.2992912917,75.8368292682927,,,1.6930608756,54.06699,,0.98222
Croatia,2005,23538.7544252511,75.2446341463415,,,1.5531972337,57.41627,,0.9806
India,2019,6713.93221110733,69.656,,10.298864376264,,52.40385,,1.04318
India,2018,6518.84505546914,69.416,,9.08106379604186,3.0792324418,55.28846,,1.05468
India,2017,6182.92210857473,69.165,,7.38955961835101,3.124876793,53.36538,,1.04907
India,2016,5851.3948804932,68.897,,7.68152369290478,3.2221550908,53.36538,,
India,2015,5464.39405731664,68.607,,8.03962803200995,3.386857916,55.76923,,
India,2014,5116.62910485036,68.286,,9.22650896326979,3.6551383088,55.28846,,
India,2013,4818.52255699988,67.931,,8.8832887337318,3.5818622233,53.05164,,
India,2012,4583.1731985001,67.545,,7.72953140848074,3.75088806,52.58216,,
India,2011,4399.88823976861,67.13,,7.89152338649877,3.8103222877,52.58216,35.7,
India,2010,4234.97957334961,66.693,,7.80974408354949,3.7641342502,54.02843,,
India,2009,3956.35901634772,66.244,,9.67817830479429,3.763079037,54.9763,35.4,
India,2008,3720.09264848115,65.794,,,3.8311117225,57.69231,,
